Name,URL,Text
16 BIT S/W ONLY,https://dmoj.ca//problem/16bitswonly,"One day you woke up  finding yourself back in 1992  It would seem that the gypsy wife of the wizened old monk whose voodoo shop you smash up every day after school has cast a spell on you 
Early in the production process of the 80386  Intel discovered a fatal bug in the processor  which they of course fixed  The bug involved errors when performing 32 bit multiplication  But by the time they fixed the issue  a number of processors were already produced  and they decided that it would be a shame to throw them all out  It was decided that these processors would be sold at a reduced price with the tag 16 BIT S W ONLY  16 bit software only   Conversely  the newer processors which don t have the bug instead have two sigmas  ΣΣ  stamped on  We will call them DOUBLE SIGMA processors 
Back in 1985  32 bit software was something out of reach of most consumers  Even in 1989  the ancient 8086 was sold as new technology  Hence  there is a market for the defective processors 
You  a programmer  decided to get a programming job in the 1992 world so you can survive until you find a way to return to the modern age  In a cluster of servers  some of them use the 16 BIT S W ONLY processors  but you don t know which ones  Your first job is to determine the bad processors from the 32 bit multiplication results 
The 80386 has an instruction to multiply two 32 bit integers into a 64 bit result  conventionally stored in EDX EAX register  i e  temporary variable  pairs because there were no 64 bit registers 
Input Specification
The first line of input will be the integer  N  such that  1  le N  le 1  000   The next  N  lines of input will contain integers  A    B   and  P   such that   2  31   le A  B   2  31   and   2  63   le P   2  63   
Output Specification
For every line of input except the first  output 16 BIT S W ONLY if the product is wrong  i e   A  times B  ne P    or POSSIBLE DOUBLE SIGMA if correct 
Sample Input
3
1 1 2
2147483647 2147483647 4611686014132420610
12345678 87654321 1082152022374638
Sample Output
16 BIT S W ONLY
16 BIT S W ONLY
POSSIBLE DOUBLE SIGMA


Uncategorized Uncategorized"
2048,https://dmoj.ca//problem/2048,"ECOO Practice 2014
2048 is a popular single player online game where the player is given a
 4  times 4  grid where they must slide number tiles around to combine them into
the 2048 tile  When an arrow key  up  down  left  or right  is pressed 
all the tiles on the grid slide in the specified direction  Tiles stop
sliding when they hit the edge of the board or a different numbered
tile  When two tiles of the same value collide with each other  they
fuse into one tile whose value is the sum of the values of the two
initial tiles  The following is an example of making a move  pressing
the UP arrow key  in an in progress game of 2048 

Note that there are three 4 tiles in the leftmost column  By pressing
UP  all of the tiles try to slide upward  The two topmost 4 tiles in the
leftmost column get fused into an 8 tile  The bottommost 4 tile slides
up  but cannot get fused anymore  The 2 tile in the bottom right corner
also slides upward and gets fused with the 2 tile above it  It just so
happens that a new 2 tile pops into the grid at the bottom left corner
after making this move 
In the real 2048 game  a new tile always pops into somewhere on the grid
for every move you make  For the purposes of this problem  no new tiles
will appear  Your task is  given the setup of an in progress game of
2048  determine the value of the largest possible tile you can create by
any series of up  down  left  or right slides if no new tiles are
introduced to the grid 
Input Specification
The input will consist of  5  test cases  Each test case will consist of  4 
lines  each with  4  columns   a  4  times 4  grid of values  Numbers in the input
will be from the set    0  2  4  8  16  32  64  128  256  512  1024  2048    
A value of 0 indicates that the position in the grid is
unoccupied  The input positions will be such that 2048 is the largest
possible value you can attain 
Output Specification
For each test case  output one integer   the largest tile you can
produce by any  possible length zero  sequence of moves from the given
game setup  if no new tiles were to be introduced to the grid 
Sample Input
2 64 4 32
8 16 8 4
4 32 4 0
2 2 0 0
0 0 0 2
0 0 0 2
0 0 0 0
0 0 0 2
2 4 8 2
0 2 0 8
0 0 0 0
0 0 0 0
4 32 8 0
2 64 4 2
8 4 2 0
2 0 0 0
256 256 0 0
256 256 0 0
256 256 0 0
256 256 0 0
Sample Output
128
4
16
128
2048
Explanation
For the first case in the sample input  depicted by the second diagram
above   the largest obtainable tile assuming no new tiles pop in is the
128 tile  One way to do is through the sequence of moves  right  shift
the bottom leftmost 4 tile under the other 4 tile   up  merge the
4 tiles   left  merge the 8 tiles   left  merge the 16 tiles   up  merge
the 32 tiles   up  merge the 64 tiles  





Will DFS be too slow 



Obviously there are two incorrect outputs



I know what you re thinking  and no  it won t TLE 



There are positions like this
2    4    0    0 
4    2    0    0 
2    4    0    0 
4    2    0    0
where the answer is 4  not 16 

Uncategorized Uncategorized"
2 D Permutations,https://dmoj.ca//problem/2dperm,"Edward spent the whole weekend brainstorming problems involving 2 D arrays  Unfortunately  they were all too hard  so he came up with this instead 
You are given  N  times M  integers  numbered from  1  to  N  times M   You would like to arrange these numbers into an  N  times M  array  A   The rows are numbered from  1  to  N  and the columns from  1  to  M   Denote the number assigned to the  i  th cell from the top and the  j  th cell from the left  A  i  j    An arrangement is called valid if for all cells with  i   1    A  i  j    A  i 1  j    and for all cells with  j   1    A  i  j    A  i  j 1    You are also given  Q  queries  For each query  a number  q i  is given  and you must return the number of different cells  q i  can be placed in all valid arrangements 

Edward has no idea how to solve this problem either  Please help him solve it 
Input Specification
The first line will contain three integers  N    M   and  Q   the dimensions of the array and the number of queries 
The next  Q  lines will each contain one integer  q i   as specified in the problem statement 
Output Specification
Output  Q  lines  the  i  th line containing the number of different cells  q i  can be placed in all valid arrangements 
Constraints
For all subtasks 
 1  le N  M  le 5000 
 1  le Q  le 10 6 
 1  le q i  le N  times M 
Subtask 1  15  
 1  le N  times M  le 10 
 1  le Q  le 10 
Subtask 2  35  
 1  le N  M  Q  le 300 
Subtask 3  50  
No additional constraints 
Sample Input 1
2 2 4
1
2
3
4
Sample Output 1
1
2
2
1
Explanation for Sample 1
The two valid arrangements are 


12
34

13
24 2  and  3  can be placed in two different cells  while  1  and  4  can only be placed in one 
Sample Input 2
1 3 3
1
2
3
Sample Output 2
1
1
1
Explanation for Sample 2
The only valid arrangement is 

123Since there is only 1 valid arrangement  each number can only be placed in 1 unique cell 
Sample Input 3
5 5 1
18
Sample Output 3
11
Explanation for Sample 3
The following diagram shows the 11 possible cells  18  can be placed in  Green cells denote possible cells  while red cells denote otherwise 









i am certain that python is not being able to handle this  got all the answer correct but always TLE for part 3 
edit 
it can  but only with pypy3 or pypy2




Are all queries distinct 



Not necessarily 

Uncategorized Uncategorized"
2 Dimensional Range Minimum Query,https://dmoj.ca//problem/2drmq,"You are given a  2  dimensional array of integers of size  N  times N   We will call this array  arr   You are then required to answer multiple queries for the minimum integer in a given submatrix 
Formally  given  4  integers  a  b  c  d   determine   min   arr i  j   mid a  le i  le b  c  le j  le d    
Implementation Details
You should implement the following functions 
void init std  vector std  vector int   arr  


 arr   a  2  dimensional array of size  N  times N  

int query int a  int b  int c  int d  


 a   the lower bound on the first dimension of the submatrix 
 b   the upper bound on the first dimension of the submatrix 
 c   the lower bound on the second dimension of the submatrix 
 d   the upper bound on the second dimension of the submatrix 
This function should return the minimum integer in the submatrix formed by  a  b  c  d  

It is guaranteed that init will be called exactly once  and that this call will be made before any calls to query 
Constraints
For all subtasks 
 1  le N  le 1000 
 1  le arr i  j   le 10 9  for  0  le i  j  le N 1 
 0  le a  le b  le N 1  for all calls to query
 0  le c  le d  le N 1  for all calls to query
Disclaimer   arr i  j   a  b  c  d  were generated randomly 
Your answer will be considered correct if the bitwise  xor  of the answers to all the queries matches the expected result 
Subtask 1  10  
query will be called at most  1  000  times 
Subtask 2  20  
query will be called at most  100  000  times 
Subtask 3  30  
query will be called at most  1  000  000  times 
Subtask 4  40  
query will be called at most  10  000  000  times 
Sample Interaction
Please note that the sample will not appear in any of the test cases 


Function Call
Return Value

init   1  2    3  4   


query 0  1  0  1 
1

query 1  1  0  1 
3

query 0  0  1  1 
2

Classics Classics"
2spooky4me,https://dmoj.ca//problem/2spooky4me,"PEG Test   Halloween 2014
Kenny wants to go trick or treating too  But the street has many spooky
decorations put up on it  Kenny doesn t like to be scared  so he avoids
spooky areas 
There are  L  houses arranged in a line on the street  numbered from  1 
to  L   Each house will give exactly  1  unit of candy to Kenny  There are
 N  spooky decorations on this street  The  i  th decoration covers the
street from house number  a i  to  b i   inclusive  raising the
spookiness of those houses by  s i  spookiness units 
Kenny will be too scared to knock on any doors if the spookiness of a
house is greater than or equal to  S   The spookiness of a house is the
sum of the spookinesses of all the decorations passing through it 
Determine the amount of candy Kenny can receive from all the houses on
the street 
Input Specification
The first line of input will contain the integers   N    L    S 
  1  le N  le 10  000  1  le L  le 10 9  1  le S  le 10 7   
The next  N  lines of input will contain values  a    b  and  s  for each
house    1  le a i  b i  le L  1  le s i  le 1  000   
Output Specification
Output a single integer  the amount of candy that Kenny can get 
Sample Input 1
3 100 10
20 59 4
30 69 4
40 79 4
Sample Output 1
80
Explanation 1
Houses between number 40 and 59 inclusive have a spookiness of 12  which
is 2spooky for Kenny  He can still get candy from houses 1 to 39  and 60
to 100 
Sample Input 2
2 10 4
3 5 2
5 7 2
Sample Output 2
9
Explanation 2
Only house 5 is 2spooky for Kenny 




May I ask if this is solvable by Fenwick 
Isn t  10 9  too much 



You could try coordinate compressing it

Uncategorized Uncategorized"
Rotations in 3 Dimensions,https://dmoj.ca//problem/3drotate,"Your task is simple  given some points in 3D  rotate them around an axis of rotation 
Input Specification
The first line of input will contain  T   the number of test cases   1  le T  le 1  000   
The next  T  lines will each contain 7 real numbers to 6 decimal places   x  y  z  rx  ry  rz   theta   You are to rotate the point   x  y  z   around the axis of rotation   rx  ry  rz   such that if you look at the origin from the axis of rotation  it will be rotated   theta  radians counterclockwise  All coordinates will have absolute value of at most  1  000  and   theta  will be such that  0  le  theta   2 pi   It is guaranteed at least one of  rx  ry  rz  is nonzero 
Output Specification
Output  T  lines  each line should have the   x   y   z     the result of rotation as three space separated real numbers  Your answer will be judged as correct if it is within an absolute or relative error of  10   6   
Sample Input
2
0 000000 0 000000 0 000000 1 000000 0 000000 0 000000 3 141593
1 000000 0 000000 0 000000 1 000000 1 000000 1 000000 1 570796
Sample Output
0 000000 0 000000 0 000000
0 333334 0 910683  0 244017


Uncategorized Uncategorized"
Mispelling,https://dmoj.ca//problem/a1,"Misspelling is an art form that students seem to excel at  Write a
program that removes the  M  th character from an input string 
Input Specification
The first line of input contains a single integer  N 
  1  le N  le 1  000   which is the number of datasets that follow 
Each dataset consists of a single line of input containing an integer  M   a space 
and a string made up of uppercase letters  spaces  and decimal digits only   M  will be
less than or equal to the length of the string  The length of the string
is guaranteed to be less than or equal to  80  
Output Specification
For each dataset  you should generate one line of output with the
following values  The dataset number as a decimal integer  start
counting at one   a space  and the misspelled string  The misspelled
string is the input string with the indicated character deleted 
Sample Input
4
4 MISSPELL
1 PROGRAMMING
7 CONTEST
3 BALLOON
Sample Output
1 MISPELL
2 ROGRAMMING
3 CONTES
4 BALOON




I keep getting a error message of  out of range  how do i fix this 



                                            This comment is hidden due to too much negative feedback 
                                            Show it anyway 




you did not account for string input with spaces

Uncategorized Uncategorized"
Mirrored Pairs,https://dmoj.ca//problem/a2,"The letters b and d are mirror images of each other  as are p and q  No
other pairs of letters are mirrors  except for letters like H that are
mirrors of themselves  and what s the interest in a pair that s just two
of the same letter  We refuse to count self mirrors as mirrored pairs 
Input Specification
Input is a list of lines with two characters on each line  Your program
should end immediately when it encounters a line with two spaces 
Output Specification
The first line of output should contain only Ready  For each pair of
characters  prior to a pair of spaces   print the line Mirrored pair if
the characters are mirrors  otherwise print the line Ordinary pair 
Sample Input
Fr
qp
HH
db
  
pq
Sample Output
Ready
Ordinary pair
Mirrored pair
Ordinary pair
Mirrored pair




I keep getting an IR  invalid return  on all the test cases and when I check the output DMOJ got it has  Or  at the end of it even there is nothing in my code that should print that  btw im using python 3   When I test my code in my own IDE it runs perfectly  I have no idea what I m doing wrong 



That s because DMOJ clips the output by showing only the first few characters 



In the input specification  it says that the program should end immediately when it encounters a line with 2 spaces  But in the sample input  there is a line after 2 spaces  On line 5 there are 2 spaces and on line 6 there are 2 letters  How is the program taking in the input after a line that contains 2 spaces  Shouldn t the program end at line 5 



The output specification says the first line of output will always be  Ready    the program will then start to execute the inputs after  Ready  
N A   Ready
Fr   Ordinary pair
qp   Mirrored pair
HH   Ordinary pair
db   Mirrored pair
 Two spaces     Program Stop 
pq    Stopped 



Uncategorized Uncategorized"
A20 Gate,https://dmoj.ca//problem/a20,"In 1984  IBM released the PC AT  making use of the then new Intel 80286  The 80286 supported a whopping 16 MB of RAM  up from the old limit of 1 MB  This posed a problem  however  as older programs depended on the lack of support for any memory address over 1 MB  Since memory and processing power was scarce back then  programmers would often pull tricks to decrease code size and execution time  These programmers abused the fact that memory wrapped around after 1 MB  so accessing the memory at 1 MB would effectively access the memory at 0 instead 
IBM s solution  They added a logic AND gate on the A20  address line 20  on the CPU  A20 transmits bit 20 of the memory address  with bit 0 being the last bit of the address  The following diagram shows the gate in action for the address at 1 MB 





































0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0


Bit 
31
30
29
28
27
26
25
24
23
22
21
20
19
18
17
16
15
14
13
12
11
10
9
8
7
6
5
4
3
2
1
0








When pulled low  the gate forces the bit to be zero 
When pulled high  the gate doesn t change the bit 
The AND gate would make sure that A20 is always zero when the gate is pulled low  and have no effect when it s pulled high  For example  when pulled low  it makes address 1 MB behave as address 0 and address 1 MB   1 as address 1  etc  It is important to realize that IBM did not put gates on any other address line  so that the address 2 MB does not wrap to 0  though 3 MB wraps to 2 MB 
In 1992  your second job is to find the effect the A20 gate has on a memory address  In other words  for every given memory address  output the real address accessed if the A20 gate is pulled up and down 
Input Specification
The first line of the input is the integer  N  such that  1  le N  le 100   the number of addresses you are processing  The next  N  lines are zero padded 32 bit memory addresses in hexadecimal which you are to process 
Output Specification
For all the addresses that have two possible interpretations  some addresses may be the same regardless of whether the A20 is high or low   output the address in zero padded hexadecimal when the gate is pulled low  followed by a space  followed by the address in the same format when the gate is pulled high  If the address has only one possible interpretation  output the same address back out in the same format 
Sample Input
3
0010DEAD
0020BEEF
0030CAFE
Sample Output
0000DEAD 0010DEAD
0020BEEF
0020CAFE 0030CAFE




I m not sure why the outputs from my Haskell solution are getting weirdly clipped  causing a WA   I ve tested locally  with GHC 8 10 7  under both runghc and after compiling with ghc  no extra flags  everything seems fine here 
EDIT  I ve found the issue  it s the order of printouts for the addresses 




My output for the sample input are all correct  But i still got IR  
Is there any trick in this problem 




I afraid the module you used is not available on the version of lua on the judge  Lacking expertise in Lua  I don t have much to suggest other than attempting with a different language  Your solution looks correct though 



Why am I getting IR s  My program output exactly the same thing as the sample output 



0x82ADB468 is larger than  2  31  1    you re assuming the address is signed  which it s not 



java util InputMismatchException  For input string   82ADB468 


Uncategorized Uncategorized"
Triple Fat Ladies,https://dmoj.ca//problem/a3,"Pattern Matchers have been designed for various sorts of patterns  Mr 
HKP likes to observe patterns in numbers  After completing his extensive
research on the squares of numbers  he has moved on to cubes  Now he
wants to know all numbers whose cube ends in  888  
Given a number  k   help Mr  HKP find the  1  text st   number larger than  k 
whose cube ends in  888  
Input Specification
The first line of the input contains an integer  t   the number of
test cases   t  test cases follow 
Each test case consists of a single line containing a single integer
 k    1  le k  le 20  000   
Output Specification
For each test case  output a single integer which denotes the  1  text st   number
larger than  k  whose cube ends in  888   The result will be less than
 2  63   
Sample Input
1
1
Sample Output
192




HINT  Take a look at the first three smallest numbers whose cube end with 888  192  442  692
You ll probably figure this out anyway  but just wanted to put it out there     I don t want to give the problem solution away  so all I ll say is look closely 




If you re too lazy to convert each  k  to a string you can always use modulo to get the digits



for the c   or c or c  gamers out there make sure to use a long instead of an int for the numbers that you will be cubing  I TLEd on this problem i was using an int and the number was defaulting to int limit



The explanation of this one was a little bit vague  so this may help you if you are stuck 
The first number is the NUMBER OF INPUTS  each of which is then processed individually   I initially started trying to do x number of items starting from 1 
A sample output with more than 1 test case would look like this 
INPUTS 
3
1
900
10000
OUTPUTS 
192
942
10192


Uncategorized Uncategorized"
